shot,shot_type,description
shot_0093.jpg,mediumShot,"A blurry, grainy image shows the backs of people's heads and shoulders, some wearing light-colored shirts."
shot_0089.jpg,ambiguous,"A blurry, dark image shows figures and a structure, possibly indoors."
shot_0021.jpg,ambiguous,The image displays a textured surface with shades of purple and pink and some white spots.
shot_0034.jpg,ambiguous,"A blurry, pixelated image with a gradient from yellow-green on the left to blue on the right with black vertical lines throughout."
shot_0027.jpg,mediumCloseUp,"A blurry, blue-toned image shows people, one of whom appears to be playing a drum."
shot_0010.jpg,ambiguous,"A grainy, light purple and white background has dark speckles throughout."
shot_0079.jpg,extremeLongShot,"A grainy, sepia-toned shot shows a street scene with a large building, a crowd of people holding a banner, and a car in the foreground."
shot_0051.jpg,ambiguous,"A distorted, pixelated image with a blue background and dark, blurry shapes, possibly a figure or a skull, is partially obscured by vertical lines of static."
shot_0058.jpg,ambiguous,"A blurry, abstract image with a mix of blue, purple, and red colors appears damaged or distorted."
shot_0055.jpg,extremeLongShot,"A digitally distorted image, possibly of trees or a forest, appears with a grainy texture and a color shift towards blue and green, with orange and yellow edges."
shot_0078.jpg,ambiguous,"Three pairs of legs and feet are partially visible, two wearing light-colored shoes and one wearing dark-colored shoes."
shot_0043.jpg,ambiguous,"A blurry, purple-tinted image appears to show a group of people, some with musical instruments, possibly a band."
shot_0066.jpg,fullShot,"A grainy, low-quality video shows a group of people, some seemingly playing cricket, on a city street."
shot_0023.jpg,longShot,A crowd of people on a balcony watches a parade float decorated with balloons and an umbrella.
shot_0092.jpg,longShot,"A crowd of people wearing 1970s-era clothing walks down a city street near a large stone building, some carrying purple and gold balloons."
shot_0074.jpg,mediumShot,"Grainy footage shows a person in a purple tank top smiling next to a person wearing a light-colored jersey with a dark letter ""A"" visible."
shot_0030.jpg,closeUp,"A blurry, grainy, light brown surface with darker shadows is visible."
shot_0042.jpg,longShot,"Grainy or distorted footage shows people in what appear to be hats or helmets, possibly working on something."
shot_0022.jpg,fullShot,"A group of people march down a city street, carrying signs with various slogans, including one that reads ""Shatzi Radical Jewish Lesbians Organizing."""
shot_0031.jpg,ambiguous,"A blurry, purple-tinted image shows a crowd of people and a sign in the background."
shot_0005.jpg,closeUp,"A man with aviator sunglasses and a mustache looks ahead, with a blurry person visible in the background."
shot_0002.jpg,longShot,"A group of people march down a street holding a banner that reads ""BIAN"" (likely the end of ""Lesbian"") in white letters on a maroon background."
shot_0000.jpg,ambiguous,"A blurry, grainy, sepia-toned image shows indistinct figures and objects, possibly from an old film reel."
shot_0013.jpg,ambiguous,"A grainy, purple-toned image resembles a worn film strip with vertical lines and some brighter spots."
shot_0033.jpg,longShot,"A distorted, brightly colored image appears to show a person standing on a sidewalk in front of a blurry background that may depict other people and buildings."
shot_0050.jpg,ambiguous,"A distorted, grainy image, likely from a damaged or degraded film or video source, shows blue and gold shapes, potentially depicting a scene with figures or objects."
shot_0025.jpg,longShot,"A group of people clap and cheer, some wearing purple shirts, while balloons float above them."
shot_0011.jpg,fullShot,"A group of people are standing on a city street, some wearing Lee shirts."
shot_0004.jpg,ambiguous,"A white or off-white surface is covered with small, dark specks."
shot_0072.jpg,mediumShot,A group of people wearing USA tank tops and medals are sitting in the back of a convertible.
shot_0024.jpg,ambiguous,"A blurry, blue-tinted image appears to show a crowd of people near a decorated float or vehicle."
shot_0056.jpg,ambiguous,"A blurry, faded, and discolored image appears to depict a crowd of people, possibly at a market or festival, beneath a canopy or awning."
shot_0006.jpg,mediumCloseUp,"A blurry, grainy image shows the backs of people's heads and shoulders."
shot_0036.jpg,extremeLongShot,"A digitally-altered image features vertical streaks of blue, purple, and white against a black background."
shot_0052.jpg,mediumCloseUp,"A white surface is covered with small, light blue and dark blue speckles."
shot_0062.jpg,extremeLongShot,"A distorted, colorful abstract image, possibly of a crowd or textured surface, is presented with vertical red borders on either side against a black background."
shot_0084.jpg,longShot,"A grainy, slightly faded film shot shows a crowd of people, some wearing light-colored clothing, walking and standing near a building with columns."
shot_0073.jpg,mediumShot,"Three people wearing tank tops, two of which have ""USA"" on them, are sitting in a dark room."
shot_0049.jpg,ambiguous,"A digitally manipulated image shows a textured surface with red and purple abstract shapes resembling figures, possibly affected by digital noise or distortion."
shot_0044.jpg,longShot,"A grainy, low-quality film image shows a parade with people in shorts and white shirts walking under a purple and gold balloon arch."
shot_0059.jpg,extremeLongShot,"A blurry, grainy image displays vertical bands of red, green, and black."
shot_0016.jpg,longShot,"A blurry, distorted, reddish image shows a crowd of people from behind."
shot_0041.jpg,fullShot,"A blurry, low-quality video shows a marching band with purple and white uniforms."
shot_0083.jpg,ambiguous,"A blurry, green-tinted image shows a partial view of a protest sign and possibly a person's head."
shot_0071.jpg,mediumCloseUp,"A blurry, low-light image shows several people, one of whom wears yellow-framed sunglasses."
shot_0017.jpg,ambiguous,"A blurry, dark image shows the faces of two people, one seemingly holding the other."
shot_0026.jpg,closeUp,"A white background has a scattering of small, faint, colorful specks."
shot_0028.jpg,ambiguous,"A blurry, distorted image, likely from old film, appears to show a building's exterior and doorway."
shot_0019.jpg,closeUp,"A close-up image shows a textured, purple surface."
shot_0047.jpg,ambiguous,"A blurry, distorted image in blue and yellow appears to show people seated at tables in a dark space."
shot_0064.jpg,longShot,"A blurry, pixelated image displays vertical stripes of yellow, green, and light blue, resembling an abstract painting or a distorted digital screen."
shot_0003.jpg,mediumShot,"A blurry, grainy image shows people, some wearing purple, near a wooden structure."
shot_0001.jpg,ambiguous,"A blurry, grainy image appears to show a person's head and shoulders."
shot_0039.jpg,ambiguous,"A blurry, purple-tinted image appears to show a person walking past a police car."
shot_0009.jpg,longShot,"A grainy, discolored image shows a group of people, some holding signs, gathered outdoors."
shot_0008.jpg,longShot,"A grainy, damaged film image shows a group of people outdoors, some holding a sign, some interacting with each other."
shot_0032.jpg,ambiguous,"Two figures, highlighted in gold and red against a blue background, appear to be bending over."
shot_0018.jpg,mediumCloseUp,"A grainy, purple surface fills most of the frame."
shot_0045.jpg,mediumShot,"Three people are visible in the grainy, distorted image, two appear to be wearing light-colored shirts and one a dark purple shirt."
shot_0085.jpg,longShot,"A blurry, purple-tinted image shows a crowd of people."
shot_0087.jpg,ambiguous,A person wearing a purple shirt holds up their arms and a sign.
shot_0088.jpg,ambiguous,"A blurry, grainy image appears to show a person's head and shoulders, possibly wearing a dark-colored garment, along with a blurred background that may include a wall and furniture."
shot_0082.jpg,fullShot,"A police officer in uniform stands near a concrete pillar, with the back of a person's head visible in the bottom left corner."
shot_0068.jpg,mediumShot,"A blurry, green-tinted image shows a group of people, some of whom are wearing glasses and light-colored shirts."
shot_0048.jpg,extremeLongShot,"A textured surface, predominantly blue, shows signs of wear, cracks, and what appears to be graffiti."
shot_0067.jpg,ambiguous,"Two people wearing hats are seen in a blurry, discolored image, possibly holding something in their hands."
shot_0007.jpg,longShot,"A crowd of people, some holding signs and a green banner, are gathered on a city street."
shot_0035.jpg,ambiguous,"A blurry, grainy image shows dark shapes and areas of yellow and blue."
shot_0086.jpg,longShot,"A crowd of people, some wearing purple and gold, and police officers are gathered in front of a stone building, with purple and gold balloons visible."
shot_0012.jpg,mediumShot,"A blurry, grainy image shows a group of people, some wearing sunglasses, seemingly at an outdoor event."
shot_0069.jpg,detail,"Two men hold a banner reading ""New York City Gay Men's"" at what appears to be a parade or public gathering."
shot_0081.jpg,extremeLongShot,"A blurry, grainy shot shows a parade with a rainbow banner moving down a city street."
shot_0020.jpg,closeUp,"A grainy, dark purple surface fills most of the frame, with black bars on the left and right sides."
shot_0014.jpg,ambiguous,"Two men with mustaches stand close together, smiling, in a room with a window and wooden walls."
shot_0057.jpg,longShot,"A blurry, distorted image with vertical lines of color resembling a damaged film or video still is visible."
shot_0063.jpg,closeUp,"A few faint, small bluish dots are visible against a black background."
shot_0094.jpg,mediumShot,"A blurry, grainy image shows the backs of several people's heads, and the profile of a man wearing glasses facing to the right."
shot_0065.jpg,mediumShot,"Two men, one shirtless and wearing sunglasses, and the other wearing a dark shirt and sunglasses, stand in a room with a map on the wall."
shot_0029.jpg,ambiguous,"A blurry, discolored close-up shows part of a person's body and clothing with a circular design or object."
shot_0076.jpg,mediumCloseUp,"A blurry, grainy image shows a person wearing a white shirt, with another person visible behind them wearing a hat."
shot_0091.jpg,ambiguous,"A blurry, grainy image shows people in what appears to be a theater or auditorium setting, with some sitting and some standing."
shot_0061.jpg,closeUp,"A dark image with faint, blurry, purple shapes near the bottom center."
shot_0038.jpg,ambiguous,"A blurry, pixelated image appears to show the profile of a person's face against a textured backdrop."
shot_0054.jpg,ambiguous,"A blurry, pixelated image shows green and brown shapes against a teal background, with vertical lines running through it."
shot_0015.jpg,extremeLongShot,"A close-up image features a predominantly blue surface with vertical streaks and a textured, mottled appearance."
shot_0040.jpg,longShot,"A blurry, purple-tinted video shows a group of people, some holding a banner that reads ""GAY""."
