shot,shot_type,description
shot_0018.jpg,ambiguous,"A blurry, blue-toned image shows two figures standing on a street with cars visible in the background."
shot_0021.jpg,ambiguous,"A blurry, teal-tinted image appears to show a street scene with cars and buildings."
shot_0004.jpg,detail,"The text ""A Film by Jim Hubbard"" is displayed on a textured, mottled surface."
shot_0003.jpg,mediumCloseUp,"The image is a solid, dark brown or black color."
shot_0011.jpg,closeUp,"A blurry, dark teal gradient is visible on both the left and right sides of the frame, with a dark area in the center."
shot_0025.jpg,ambiguous,"The image is dark and blurry, with indistinct shapes and some light areas."
shot_0066.jpg,ambiguous,"A blurry, blue-toned image depicts people, some wearing striped shirts, in a crowd."
shot_0045.jpg,mediumShot,"A blurry, reddish image shows a person from the chest up, appearing to hold something in their hands and wearing a suit jacket with a light-colored circular pin or button."
shot_0069.jpg,mediumCloseUp,"A grainy medium shot shows a group of people, with a man wearing sunglasses in the center."
shot_0014.jpg,ambiguous,"A blurry, teal-toned image appears to show a person and a car."
shot_0002.jpg,detail,"The words ""TWO MARCHES"" are printed on a textured, purplish-gray background."
shot_0016.jpg,ambiguous,"A blurry, dark image shows indistinct shapes and light sources."
shot_0064.jpg,ambiguous,"A blurry, dark shape is visible against a blue background."
shot_0017.jpg,ambiguous,"A blurry, teal-toned image shows indistinct shapes and objects."
shot_0005.jpg,mediumCloseUp,"The image is a solid, dark brown color."
shot_0048.jpg,ambiguous,"A blurry, discolored image appears to show a person standing next to a large piece of equipment."
shot_0075.jpg,longShot,A group of people with their arms raised are standing in a circle outdoors.
shot_0015.jpg,closeUp,"The image is a solid, dark brown color."
shot_0035.jpg,ambiguous,"A blurry, color-shifted image shows a group of people, some of whom appear to be wearing jackets with numbers or letters."
shot_0041.jpg,ambiguous,"A blurry, red-tinted image appears to show people, possibly wearing hats, engaged in some activity."
shot_0090.jpg,detail,"A solid, pale pink surface fills the frame."
shot_0063.jpg,mediumCloseUp,"A group of men, some wearing white shirts and one wearing a teal shirt, are seen in a crowd."
shot_0076.jpg,longShot,"A crowd of people, many wearing hats, are packed together, some with their mouths open as if cheering or singing."
shot_0058.jpg,detail,"The year ""1987"" is typed on a piece of textured, light purple paper."
shot_0085.jpg,longShot,"A quilt or series of banners with names and symbols lies on the ground, partially covered by the legs and feet of people standing around it."
shot_0029.jpg,mediumShot,"A blurry, grainy image shows a group of people, with one young person's face partially visible on the right."
shot_0028.jpg,ambiguous,"A blurry, teal-tinted image shows a group of people."
shot_0013.jpg,closeUp,A blurry teal vertical band is on the left side of a black background.
shot_0065.jpg,mediumShot,A man wearing sunglasses and a light gray jacket holds a thin pole in front of a crowd of people.
shot_0036.jpg,ambiguous,"A blurry, discolored image appears to show people and signs, possibly from a protest or demonstration."
shot_0009.jpg,closeUp,"A blurry, teal-toned image, possibly an x-ray or scan of a cylindrical object, takes up the left side of the frame, with the rest being black."
shot_0042.jpg,detail,"A blurry, red-tinted image shows two figures, likely people, facing each other."
shot_0056.jpg,mediumShot,"Two figures are silhouetted against a fiery, smoky backdrop."
shot_0084.jpg,detail,"A close-up of a quilt shows patches with ""Steve Abrahams"" and a drawing of a face, among other indistinguishable details."
shot_0039.jpg,detail,"A blurry, red-tinted image shows a group of people, some holding objects and one with raised arms, in front of a sign with text."
shot_0082.jpg,longShot,"A blurry, blue-toned image shows a group of people standing together."
shot_0088.jpg,detail,"The text ""© 1991 by Jim Hubbard"" is printed on a textured, possibly fabric, surface."
shot_0049.jpg,ambiguous,"A blurry, reddish image appears to show a person with the number 10 on their clothing, possibly holding a camera, next to a larger object."
shot_0000.jpg,detail,"The number ""3"" is displayed in a circle with concentric rings on a slightly grainy, light blue-gray background."
