shot,shot_type,description
shot_0018.jpg,ambiguous,"A blurry, grainy, black and white image appears to show a car driving down a street at night."
shot_0021.jpg,longShot,"A grainy, black and white photo shows a nighttime street scene with a crowd of people, some holding signs, and a vehicle."
shot_0004.jpg,ambiguous,"A blurry, grainy image shows a person from the chest up, turned slightly to the right against a dark teal background."
shot_0003.jpg,closeUp,"A blurry, grainy image shows what appears to be a person's face and upper body."
shot_0011.jpg,extremeLongShot,"A dark, textured surface resembling aged film stock is slightly brighter on the left edge and has a thin vertical line on the right."
shot_0025.jpg,ambiguous,"A grainy black and white photo shows two people, possibly in uniform, with other figures in the background."
shot_0045.jpg,detail,"A grainy, black and white close-up image shows a portion of fabric with the letters ""GA"" and ""FA"" visible."
shot_0014.jpg,ambiguous,"A grainy, black and white image resembles a textured surface with varying shades of gray and some small dark spots."
shot_0002.jpg,longShot,"A blurry, low-light image shows a crowd of people at night."
shot_0016.jpg,longShot,"A grainy, black and white photo shows a dimly lit interior space with a group of people."
shot_0017.jpg,longShot,"A grainy, black and white photo appears to depict lights in the distance."
shot_0005.jpg,detail,"A blurry, dark image with a reddish glow in the center, possibly of people."
shot_0048.jpg,longShot,"A blurry, black and white image shows a crowd of people standing on a city street at night, with a vehicle in the foreground."
shot_0015.jpg,mediumShot,"A blurry, grainy, black and white close-up shows a person wearing glasses."
shot_0035.jpg,closeUp,"A dark, grainy image shows lighter smoky or cloudy shapes against a black background."
shot_0041.jpg,mediumShot,"A blurry, grainy, black and white image appears to show several figures in a dark setting."
shot_0063.jpg,detail,"A textured, dark purple surface has a thin vertical line running down the right side and a small dark speck near the bottom left."
shot_0058.jpg,detail,"A blurry, grainy, black and white image shows two light patches on a darker background."
shot_0029.jpg,ambiguous,"A dark, grainy image with small white specks scattered across it and a brighter, blurry area in the top right corner."
shot_0028.jpg,ambiguous,"A blurry, grainy black and white image appears to show a group of people."
shot_0013.jpg,longShot,"A grainy, black and white photo shows a group of people, some holding a banner that reads ""GAYS""."
shot_0036.jpg,mediumShot,"A blurry, grainy, grayscale image shows indistinct shapes."
shot_0009.jpg,closeUp,A dark blue textured surface fills the frame.
shot_0042.jpg,ambiguous,"A grainy, black and white image shows indistinct shapes and varying levels of brightness."
shot_0056.jpg,longShot,"A blurry, black and white image shows people dancing."
shot_0039.jpg,ambiguous,"A blurry, black and white, close-up image shows several people."
shot_0049.jpg,mediumShot,"A blurry, black and white image depicts a tow truck driving down a street at night."
shot_0000.jpg,closeUp,"A textured, dark purple background shows some faint vertical lines and small speckles."
shot_0034.jpg,mediumShot,"A grainy, black and white photo shows two men with beards and glasses, one looking to the right of the frame and the other at the camera."
shot_0053.jpg,ambiguous,"A blurry, dark image appears to show a group of people."
shot_0031.jpg,mediumShot,"A grainy black and white photo shows a group of people, some holding a sign, with a woman's face prominent in the foreground."
shot_0008.jpg,mediumCloseUp,"A blurry, dark image with purple hues and a vertical line on the right side resembles an old film reel."
shot_0050.jpg,mediumShot,"A blurry image shows several people, one of whom appears to be wearing glasses."
shot_0001.jpg,longShot,"A blurry, grainy image shows a crowd of people, possibly at a concert or rally."
shot_0051.jpg,ambiguous,"A blurry, textured image with dark teal and spots of faded pink/red."
shot_0062.jpg,closeUp,"A blurry, close-up image shows the faces of several people in a crowd, with one person's face more prominent in the foreground."
shot_0046.jpg,mediumShot,"A blurry, grainy, black and white image shows indistinct shapes."
shot_0057.jpg,ambiguous,"A blurry, light gray, triangular shape appears on a dark gray, textured background."
shot_0030.jpg,longShot,"A grainy black and white photo shows a crowd of people, some facing the camera and some with their backs turned."
shot_0055.jpg,longShot,"A blurry, grainy, black and white image appears to show people in suits."
shot_0052.jpg,ambiguous,"A blurry, dark image shows what appears to be an x-ray of a limb with a surgical implant."
shot_0059.jpg,longShot,"A grainy black and white photo shows a crowd of people on a city street at night, some in police uniforms, with billboards and bright lights in the background."
shot_0020.jpg,longShot,"A grainy, black and white photo shows a crowd of people on a city street at night, some holding a banner."
shot_0033.jpg,mediumShot,"A grainy, black and white image shows a crowd of people, some of whom are blurry."
shot_0032.jpg,mediumShot,"A grainy, black and white photo shows a crowd of people, one of whom is wearing glasses and has a beard."
shot_0010.jpg,mediumCloseUp,"A dark, grainy image with a vertical line on the right side and a curved scratch in the center."
shot_0006.jpg,closeUp,"A dark, grainy image shows a blurry, reddish shape on the right side against a dark blue background."
shot_0044.jpg,ambiguous,"A grainy, black-and-white image shows indistinct shapes."
shot_0019.jpg,longShot,"A blurry, grainy, black and white image appears to show a nighttime street scene with cars and lights."
shot_0047.jpg,mediumShot,"A grainy black and white photo shows several men in suits, one of whom appears to be in the foreground."
shot_0043.jpg,ambiguous,"A blurry, grainy, black and white image appears to show a vehicle's headlights in the dark."
shot_0024.jpg,ambiguous,"A grainy, black and white close-up image shows a person wearing a garment with illegible text."
shot_0012.jpg,ambiguous,"A blurry, grainy image shows a person with light skin and hair, facing the camera, in a dark room with some lights in the background."
shot_0022.jpg,longShot,"A blurry, grainy, black and white image shows a group of people, some holding signs, possibly in a demonstration or protest."
shot_0023.jpg,longShot,"A blurry, grainy, grayscale image appears to depict a group of people."
shot_0040.jpg,ambiguous,"Two glowing, crescent shapes partially overlap against a dark, grainy background."
shot_0037.jpg,closeUp,"A grainy, gray and black abstract image, possibly a damaged or light-leaked photograph."
shot_0060.jpg,ambiguous,"A blurry, black and white image shows the exterior of a business with a sign that says ""Charles Green Art Gallery"" and the letters ""sto"", with a group of people standing near the entrance."
shot_0026.jpg,extremeLongShot,"A blurry, black and white photo shows a crowd of people standing near a large archway with a statue."
shot_0061.jpg,mediumShot,"A blurry, black and white image shows a crowd of people."
shot_0038.jpg,ambiguous,"A blurry, black and white image shows a person appearing to reach upward."
shot_0054.jpg,mediumShot,"A blurry, grainy image shows a person in a light-colored t-shirt walking on a city street at night, with blurred lights and other figures visible in the background."
shot_0027.jpg,ambiguous,"This is a grainy black and white image with blurry, light-colored shapes resembling clouds or smoke against a darker background."
shot_0007.jpg,closeUp,"A dark, grainy image resembling a still from old film footage."
