shot,description
shot_0018.jpg,"A blurry, grainy, black and white image appears to show a car driving down a street at night."
shot_0021.jpg,"A grainy, black and white photo shows a nighttime street scene with a crowd of people, some holding signs, and a vehicle."
shot_0004.jpg,"A blurry, grainy image shows a person from the chest up, turned slightly to the right against a dark teal background."
shot_0003.jpg,"A blurry, grainy image shows what appears to be a person's face and upper body."
shot_0011.jpg,"A dark, textured surface resembling aged film stock is slightly brighter on the left edge and has a thin vertical line on the right."
shot_0025.jpg,"A grainy black and white photo shows two people, possibly in uniform, with other figures in the background."
shot_0045.jpg,"A grainy, black and white close-up image shows a portion of fabric with the letters ""GA"" and ""FA"" visible."
shot_0014.jpg,"A grainy, black and white image resembles a textured surface with varying shades of gray and some small dark spots."
shot_0002.jpg,"A blurry, low-light image shows a crowd of people at night."
shot_0016.jpg,"A grainy, black and white photo shows a dimly lit interior space with a group of people."
shot_0017.jpg,"A grainy, black and white photo appears to depict lights in the distance."
shot_0005.jpg,"A blurry, dark image with a reddish glow in the center, possibly of people."
shot_0048.jpg,"A blurry, black and white image shows a crowd of people standing on a city street at night, with a vehicle in the foreground."
shot_0015.jpg,"A blurry, grainy, black and white close-up shows a person wearing glasses."
shot_0035.jpg,"A dark, grainy image shows lighter smoky or cloudy shapes against a black background."
shot_0041.jpg,"A blurry, grainy, black and white image appears to show several figures in a dark setting."
shot_0063.jpg,"A textured, dark purple surface has a thin vertical line running down the right side and a small dark speck near the bottom left."
shot_0058.jpg,"A blurry, grainy, black and white image shows two light patches on a darker background."
shot_0029.jpg,"A dark, grainy image with small white specks scattered across it and a brighter, blurry area in the top right corner."
shot_0028.jpg,"A blurry, grainy black and white image appears to show a group of people."
shot_0013.jpg,"A grainy, black and white photo shows a group of people, some holding a banner that reads ""GAYS""."
shot_0036.jpg,"A blurry, grainy, grayscale image shows indistinct shapes."
shot_0009.jpg,A dark blue textured surface fills the frame.
shot_0042.jpg,"A grainy, black and white image shows indistinct shapes and varying levels of brightness."
shot_0056.jpg,"A blurry, black and white image shows people dancing."
shot_0039.jpg,"A blurry, black and white, close-up image shows several people."
shot_0049.jpg,"A blurry, black and white image depicts a tow truck driving down a street at night."
shot_0000.jpg,"A textured, dark purple background shows some faint vertical lines and small speckles."
shot_0034.jpg,"A grainy, black and white photo shows two men with beards and glasses, one looking to the right of the frame and the other at the camera."
shot_0053.jpg,"A blurry, dark image appears to show a group of people."
shot_0031.jpg,"A grainy black and white photo shows a group of people, some holding a sign, with a woman's face prominent in the foreground."
shot_0008.jpg,"A blurry, dark image with purple hues and a vertical line on the right side resembles an old film reel."
shot_0050.jpg,"A blurry image shows several people, one of whom appears to be wearing glasses."
shot_0001.jpg,"A blurry, grainy image shows a crowd of people, possibly at a concert or rally."
shot_0051.jpg,"A blurry, textured image with dark teal and spots of faded pink/red."
shot_0062.jpg,"A blurry, close-up image shows the faces of several people in a crowd, with one person's face more prominent in the foreground."
shot_0046.jpg,"A blurry, grainy, black and white image shows indistinct shapes."
shot_0057.jpg,"A blurry, light gray, triangular shape appears on a dark gray, textured background."
shot_0030.jpg,"A grainy black and white photo shows a crowd of people, some facing the camera and some with their backs turned."
shot_0055.jpg,"A blurry, grainy, black and white image appears to show people in suits."
shot_0052.jpg,"A blurry, dark image shows what appears to be an x-ray of a limb with a surgical implant."
shot_0059.jpg,"A grainy black and white photo shows a crowd of people on a city street at night, some in police uniforms, with billboards and bright lights in the background."
shot_0020.jpg,"A grainy, black and white photo shows a crowd of people on a city street at night, some holding a banner."
shot_0033.jpg,"A grainy, black and white image shows a crowd of people, some of whom are blurry."
shot_0032.jpg,"A grainy, black and white photo shows a crowd of people, one of whom is wearing glasses and has a beard."
shot_0010.jpg,"A dark, grainy image with a vertical line on the right side and a curved scratch in the center."
shot_0006.jpg,"A dark, grainy image shows a blurry, reddish shape on the right side against a dark blue background."
shot_0044.jpg,"A grainy, black-and-white image shows indistinct shapes."
shot_0019.jpg,"A blurry, grainy, black and white image appears to show a nighttime street scene with cars and lights."
shot_0047.jpg,"A grainy black and white photo shows several men in suits, one of whom appears to be in the foreground."
shot_0043.jpg,"A blurry, grainy, black and white image appears to show a vehicle's headlights in the dark."
shot_0024.jpg,"A grainy, black and white close-up image shows a person wearing a garment with illegible text."
shot_0012.jpg,"A blurry, grainy image shows a person with light skin and hair, facing the camera, in a dark room with some lights in the background."
shot_0022.jpg,"A blurry, grainy, black and white image shows a group of people, some holding signs, possibly in a demonstration or protest."
shot_0023.jpg,"A blurry, grainy, grayscale image appears to depict a group of people."
shot_0040.jpg,"Two glowing, crescent shapes partially overlap against a dark, grainy background."
shot_0037.jpg,"A grainy, gray and black abstract image, possibly a damaged or light-leaked photograph."
shot_0060.jpg,"A blurry, black and white image shows the exterior of a business with a sign that says ""Charles Green Art Gallery"" and the letters ""sto"", with a group of people standing near the entrance."
shot_0026.jpg,"A blurry, black and white photo shows a crowd of people standing near a large archway with a statue."
shot_0061.jpg,"A blurry, black and white image shows a crowd of people."
shot_0038.jpg,"A blurry, black and white image shows a person appearing to reach upward."
shot_0054.jpg,"A blurry, grainy image shows a person in a light-colored t-shirt walking on a city street at night, with blurred lights and other figures visible in the background."
shot_0027.jpg,"This is a grainy black and white image with blurry, light-colored shapes resembling clouds or smoke against a darker background."
shot_0007.jpg,"A dark, grainy image resembling a still from old film footage."
