shot,shot_type,description
shot_0123.jpg,longShot,"A blurry, black and white image shows a cluttered office space with papers, boxes, and what appears to be a typewriter."
shot_0074.jpg,longShot,"A grainy, black and white image shows a crowd of people, some facing the camera and some facing away."
shot_0028.jpg,longShot,"A blurry, black and white image shows a group of people sitting in rows of theater seats."
shot_0136.jpg,ambiguous,"A microscopic view shows a light and dark blue surface with various lines, shapes, and specks."
shot_0036.jpg,ambiguous,"A partially visible, light-colored object is on the left side of a dark image."
shot_0095.jpg,ambiguous,"A blurry, grainy, black and white image shows a group of people, some possibly wearing uniforms."
shot_0060.jpg,closeUp,"A blurry, dark, grainy image appears to show a person lying down covered by blankets or clothing."
shot_0140.jpg,longShot,"The image shows a textured surface resembling cracked, light blue ice."
shot_0114.jpg,mediumShot,"A grainy, black and white shot shows two people at desks, one in the foreground and one in the background, possibly in an office setting."
shot_0031.jpg,mediumShot,"Two men are seated at a table, the one on the right wearing a tank top with horizontal stripes."
shot_0110.jpg,mediumCloseUp,"A blurry, grainy, close-up, black and white image appears to show a person's back and shoulder."
shot_0041.jpg,ambiguous,"A blurry, dark image shows a portion of what appears to be a person and the edge of a piece of furniture or a wall."
shot_0057.jpg,fullShot,"Grainy black and white security footage shows three people, two men and a woman, near a railing or counter."
shot_0016.jpg,mediumCloseUp,"A blurry, dark, grainy image appears to show a group of people."
shot_0029.jpg,longShot,"A blurry, black and white image shows several people standing in a row of empty theater seats."
shot_0101.jpg,detail,"A blurry, grainy image shows a person's dark hair and a portion of a lighter-colored surface."
shot_0098.jpg,ambiguous,"A blurry, grainy image shows part of a person's head and shoulder behind a vertical band of light."
shot_0088.jpg,mediumCloseUp,"A blurry, black and white image shows a group of people, some of whom have long hair."
shot_0084.jpg,ambiguous,"A blurry, grayscale image shows what appears to be folded fabric."
shot_0077.jpg,mediumShot,"A blurry, grayscale image shows a person sitting in front of a patterned object, possibly a screen or wall."
shot_0049.jpg,fullShot,Two people are in an auditorium with rows of empty seats.
shot_0045.jpg,mediumShot,Two people wearing hats are seated in a dark room.
shot_0042.jpg,mediumShot,Two people wearing hats sit in a darkened theater or auditorium.
shot_0106.jpg,mediumShot,"A blurry, grainy, black and white image appears to show people."
shot_0051.jpg,ambiguous,A shadowy figure sits in a dimly lit room with rows of what appear to be benches or steps.
shot_0067.jpg,ambiguous,"A blurry, grainy image appears to show a group of people."
shot_0047.jpg,fullShot,Two people are in a mostly empty auditorium or theater with rows of seats.
shot_0019.jpg,detail,"A solid, muted gray-blue color fills the frame."
shot_0046.jpg,mediumShot,"Two people are seated in a row of chairs, with the person on the right wearing a tank top."
shot_0134.jpg,longShot,"A blurry, blue-toned image appears to show people in a room, possibly a classroom or office setting."
shot_0052.jpg,longShot,Grainy black and white footage shows three blurry figures sitting in a mostly empty auditorium.
shot_0043.jpg,mediumShot,"Two people are seated in an audience, the person on the left wearing a hat and glasses."
shot_0129.jpg,longShot,"A grainy, light blue surface with dark specks and lines gradually fades into black on the right side of the frame."
