shot,description
shot_0016.jpg,"A group of people are gathered under a banner that reads ""VERY DAY""."
shot_0019.jpg,"A blurry crowd of people is shown in the frame, some of whom appear to be wearing baseball caps."
shot_0013.jpg,"A blurry, grainy film image shows a crowd of people, some in sailor uniforms, walking down a city street past a sign that reads ""Blessed... whe""."
shot_0011.jpg,A beige surface with small dark speckles is visible.
shot_0002.jpg,"A blurry, dark image shows a person wearing glasses in the center, and another person's face partially visible on the left."
shot_0022.jpg,"A group of men wearing red shirts are seen at a rally, some looking at the camera and others looking away."
shot_0027.jpg,"A muted grayish-green monochromatic frame is slightly marred with small, dark specks of dust and scratches."
shot_0014.jpg,"A blurry, close-up shot of a group of men, some wearing white and blue shirts."
shot_0008.jpg,Three women in white dresses and one in a grass skirt are on a stage.
shot_0025.jpg,"A group of people, some wearing t-shirts and holding beverages, are gathered outside."
shot_0006.jpg,"A crowd of people at an outdoor event, some wearing hats and sunglasses."
shot_0001.jpg,"A crowd of people march down a city street during a parade, carrying signs and banners, and surrounded by colorful balloons."
shot_0024.jpg,A crowd of people walks down a city street during a daytime march or parade.
shot_0018.jpg,"A blurry, reddish image shows a person with their arms crossed, possibly leaning against a doorway or wall."
shot_0012.jpg,"A blurry, dimly lit shot shows several men, some wearing tank tops, in a crowd."
shot_0020.jpg,"A blurry crowd of people, some wearing red and green shirts, are seen from behind."
shot_0015.jpg,"Two people wearing tank tops are seen from behind, with one person's arm around the other's shoulder."
shot_0009.jpg,A crowd of people watch a parade float with performers on it.
shot_0010.jpg,"A blurry, faded color film shot shows people in summer clothing walking down a city street, some wearing hats and some on a float."
shot_0004.jpg,"A mostly white screen has two small, faint gray dots."
shot_0005.jpg,"A group of people, some holding signs, are gathered in what appears to be a protest or demonstration."
shot_0026.jpg,A crowd of people walks down a city street during a parade.
shot_0017.jpg,A beige surface with darker speckles and spots is visible.
shot_0007.jpg,"Two people in costumes are on a float in a parade, with a crowd of onlookers in the background."
shot_0023.jpg,A person wearing a dark pink polo shirt is partially visible in a dimly lit setting.
shot_0021.jpg,"A slightly out-of-focus, close-up shot shows a person in a crowd, with signs partially visible in the background."
shot_0000.jpg,"A blurry image shows a group of people, some wearing t-shirts and one with the word ""STRAIG"" visible."
shot_0003.jpg,"A slightly blurry, grainy image shows people at an event, with one person in the foreground holding a towel around their neck and another wearing glasses behind them."
