shot,description
shot_0188.jpg,A man wearing an orange sweatshirt and headband gestures with his hands while sitting next to another person in a brown jacket.
shot_0162.jpg,"A crowd of people, some wearing leather jackets and some wearing police uniforms, stand facing the camera."
shot_0034.jpg,"A blurry, faded image shows a person in a long white dress leading a parade or procession, with a crowd of onlookers watching and clapping."
shot_0029.jpg,"A group of people, some wearing light-colored shirts and hats, hold a banner that reads ""WITH AID"" at a protest, with a sign featuring a hand and triangle symbol visible in the background."
shot_0184.jpg,"The image appears to be an abstract close-up, possibly of wrinkled fabric or a textured surface, with dark purple and reddish tones."
shot_0001.jpg,A bunch of white balloons floats in front of a building.
shot_0158.jpg,A person wearing a purple hood is wrapped in a beige blanket.
shot_0102.jpg,"A blurry, color-shifted crowd of people, some wearing purple shirts with a ""No Nukes"" symbol, are seen at what appears to be a protest or rally."
shot_0098.jpg,A crowd of people with purple skin tones walks down a city street.
shot_0056.jpg,"A blurry, purple-tinted image appears to show a group of people walking."
shot_0003.jpg,"A group of people march in a street, carrying banners and balloons."
shot_0197.jpg,"A person sits in profile view, facing right, and appears to be playing a keyboard in a dimly lit, blue-toned room."
shot_0106.jpg,"A person shines shoes on a sidewalk while other people stand nearby, one holding a ""SILENCE=DEATH"" sign."
shot_0014.jpg,"A close-up shot shows the profile of a person wearing a hat, with another person's profile slightly visible behind them."
shot_0077.jpg,"A crowd of people, some holding signs and balloons, is shown."
shot_0136.jpg,"A close-up, slightly blurred, purple-toned image shows a person with glasses and dark hair, their mouth open as if speaking, in front of a textured background."
shot_0057.jpg,A blurry purple image with darker purple and blue indistinct shapes.
shot_0222.jpg,"A blurry image shows a section of a stadium crowd, with banners reading ""ACT UP"" and ""SILENCE=DEATH""."
shot_0050.jpg,"A blurry, dark red image appears to show crumpled fabric or clothing."
shot_0214.jpg,"A close-up shot shows a banner with the word ""SILENCE"" painted in large, white block letters."
shot_0213.jpg,A blurry close-up of purple flowers.
shot_0051.jpg,"A blurry figure sits wrapped in a blanket in a dark, reddish-lit room."
shot_0133.jpg,"A blurry, dark image with a bright purple-pink light source."
shot_0043.jpg,"A blurry, dark red and purple image shows an indistinct surface, possibly fabric or a textured wall."
shot_0025.jpg,Dim blue lights are visible against a black background.
shot_0054.jpg,"The image shows crumpled, dark pink fabric or petals."
shot_0177.jpg,"A crowd of people holds signs and banners related to AIDS activism, with some signs reading ""SILENCE = DEATH"", ""FOR LIFE"", and ""FUND AIDS NOT WAR""."
shot_0129.jpg,"A grainy, low-quality photo shows police officers arresting someone next to a bus."
shot_0113.jpg,"A blurry, dark image appears to show a group of people."
shot_0120.jpg,"A group of protestors, some sitting and some standing, hold signs and gather on a city street."
shot_0146.jpg,"This appears to be an image of a crowd with superimposed images and names of political figures, possibly from a protest or rally."
shot_0000.jpg,A person in a white coat writes on the back of a person lying face down.
shot_0040.jpg,"A blurry, close-up image shows a brick building with windows and a fire escape with plants growing on it."
shot_0011.jpg,"A blurry, grainy, black and white image appears to show a piece of camera equipment in the lower left corner."
shot_0060.jpg,"A blurry, low-quality image shows a group of people standing around what appears to be a wrestling ring or similar surface."
shot_0181.jpg,"A police officer, wearing gloves, appears to be interacting with someone off-screen."
shot_0216.jpg,"A blurry image shows a sign in a crowd that reads ""MEN! USE CONDOMS""."
shot_0200.jpg,"A blurry, wide shot shows a baseball game being played in a stadium full of people."
shot_0004.jpg,"A group of people march in a parade, some holding a banner reading ""THE LESBIAN & G BIG APPLE COR""."
shot_0170.jpg,"A blurry, close-up image shows a person's face and the top of their shoulders."
shot_0201.jpg,"A crowd of people sit in purple stadium seats, some holding signs and papers."
shot_0223.jpg,"A blurry, blue-toned image shows several people, some wearing hats, with one in the foreground giving a thumbs up."
shot_0031.jpg,"A grainy, purple-toned image shows a group of people on a float, behind a banner reading ""TEST DRUGS NOT PEOPLE."""
