shot,description
shot_0093.jpg,"A blurry, grainy image shows the backs of people's heads and shoulders, some wearing light-colored shirts."
shot_0089.jpg,"A blurry, dark image shows figures and a structure, possibly indoors."
shot_0021.jpg,The image displays a textured surface with shades of purple and pink and some white spots.
shot_0034.jpg,"A blurry, pixelated image with a gradient from yellow-green on the left to blue on the right with black vertical lines throughout."
shot_0027.jpg,"A blurry, blue-toned image shows people, one of whom appears to be playing a drum."
shot_0010.jpg,"A grainy, light purple and white background has dark speckles throughout."
shot_0079.jpg,"A grainy, sepia-toned shot shows a street scene with a large building, a crowd of people holding a banner, and a car in the foreground."
shot_0051.jpg,"A distorted, pixelated image with a blue background and dark, blurry shapes, possibly a figure or a skull, is partially obscured by vertical lines of static."
shot_0058.jpg,"A blurry, abstract image with a mix of blue, purple, and red colors appears damaged or distorted."
shot_0055.jpg,"A digitally distorted image, possibly of trees or a forest, appears with a grainy texture and a color shift towards blue and green, with orange and yellow edges."
shot_0078.jpg,"Three pairs of legs and feet are partially visible, two wearing light-colored shoes and one wearing dark-colored shoes."
shot_0043.jpg,"A blurry, purple-tinted image appears to show a group of people, some with musical instruments, possibly a band."
shot_0066.jpg,"A grainy, low-quality video shows a group of people, some seemingly playing cricket, on a city street."
shot_0023.jpg,A crowd of people on a balcony watches a parade float decorated with balloons and an umbrella.
shot_0092.jpg,"A crowd of people wearing 1970s-era clothing walks down a city street near a large stone building, some carrying purple and gold balloons."
shot_0074.jpg,"Grainy footage shows a person in a purple tank top smiling next to a person wearing a light-colored jersey with a dark letter ""A"" visible."
shot_0030.jpg,"A blurry, grainy, light brown surface with darker shadows is visible."
shot_0042.jpg,"Grainy or distorted footage shows people in what appear to be hats or helmets, possibly working on something."
shot_0022.jpg,"A group of people march down a city street, carrying signs with various slogans, including one that reads ""Shatzi Radical Jewish Lesbians Organizing."""
shot_0031.jpg,"A blurry, purple-tinted image shows a crowd of people and a sign in the background."
shot_0005.jpg,"A man with aviator sunglasses and a mustache looks ahead, with a blurry person visible in the background."
shot_0002.jpg,"A group of people march down a street holding a banner that reads ""BIAN"" (likely the end of ""Lesbian"") in white letters on a maroon background."
shot_0000.jpg,"A blurry, grainy, sepia-toned image shows indistinct figures and objects, possibly from an old film reel."
shot_0013.jpg,"A grainy, purple-toned image resembles a worn film strip with vertical lines and some brighter spots."
shot_0033.jpg,"A distorted, brightly colored image appears to show a person standing on a sidewalk in front of a blurry background that may depict other people and buildings."
shot_0050.jpg,"A distorted, grainy image, likely from a damaged or degraded film or video source, shows blue and gold shapes, potentially depicting a scene with figures or objects."
shot_0025.jpg,"A group of people clap and cheer, some wearing purple shirts, while balloons float above them."
shot_0011.jpg,"A group of people are standing on a city street, some wearing Lee shirts."
shot_0004.jpg,"A white or off-white surface is covered with small, dark specks."
shot_0072.jpg,A group of people wearing USA tank tops and medals are sitting in the back of a convertible.
shot_0024.jpg,"A blurry, blue-tinted image appears to show a crowd of people near a decorated float or vehicle."
shot_0056.jpg,"A blurry, faded, and discolored image appears to depict a crowd of people, possibly at a market or festival, beneath a canopy or awning."
