shot,shot_type,description
shot_0018.jpg,detail,"Two blurry, light-colored shapes appear against a grainy, dark background."
shot_0021.jpg,extremeLongShot,"A blurry, grainy, black and white image appears to show a crowd of people gathered in front of a building at night."
shot_0004.jpg,detail,"The image shows the partially visible black letters ""EXD"" painted on a grayish-white surface."
shot_0003.jpg,longShot,"A grainy, black and white image shows a crowd of people, some holding signs, gathered around a car at night."
shot_0011.jpg,mediumCloseUp,A grainy black and white image shows a person wearing glasses speaking into a megaphone.
shot_0014.jpg,ambiguous,"A grainy, black and white image appears to show a group of people."
shot_0002.jpg,ambiguous,"A grainy, black and white image depicts a group of people, some of whom appear to be holding torches or flags."
shot_0016.jpg,closeUp,"This is a dark image with some blurry, lighter-colored spots or patches and a grainy texture throughout."
shot_0017.jpg,extremeLongShot,"The image shows a black surface with small, light-colored speckles throughout."
shot_0005.jpg,mediumShot,"A textured, off-white surface with faint vertical lines and small imperfections is visible."
shot_0015.jpg,ambiguous,"A blurry, grainy image shows bright, out-of-focus lights against a dark background."
shot_0013.jpg,extremeLongShot,"A grainy, black and white image appears to show the top of a submarine or similar vessel in the water."
shot_0009.jpg,closeUp,"A dark, grainy image shows a blurry, vertical streak of light and some other indistinct shapes."
shot_0000.jpg,mediumCloseUp,"A grainy black and white image shows a person lying down, their face partially obscured by shadow and their hand raised near their face."
shot_0008.jpg,ambiguous,"A blurry, gray surface, possibly concrete, is visible."
shot_0001.jpg,longShot,"A grainy, black and white image shows a group of people, some holding signs and appearing to be protesting."
shot_0020.jpg,closeUp,Gray smoke-like clouds move across a black background.
shot_0010.jpg,mediumShot,"A grainy, black and white image shows a person with glasses raising their right arm."
shot_0006.jpg,mediumCloseUp,"A plain, off-white surface with faint lines and small specks is visible."
shot_0019.jpg,ambiguous,White particles fall and gather on a dark surface.
shot_0024.jpg,mediumCloseUp,"A grainy, black and white close-up shows a person wearing glasses and speaking into a microphone."
shot_0012.jpg,extremeLongShot,"A grainy, black and white image appears to show a snow-covered bridge at night."
shot_0022.jpg,mediumShot,"A grainy, black and white image shows a group of men, seemingly talking."
shot_0023.jpg,ambiguous,"A dark, grainy image shows blurry light-colored shapes that resemble clouds or smoke."
shot_0007.jpg,detail,"A blurry, grainy, gray surface has a darker, circular smudge on the lower right side."
