shot,shot_type,description
shot_0015.jpg,mediumShot,"A blurry, slightly overexposed shot shows a crowd of people behind a metal barricade, with a person in a light-colored t-shirt facing the camera and another person wearing a cap in the foreground on the left."
shot_0001.jpg,longShot,"A blurry crowd of runners and spectators is visible, with a woman smoking a cigarette in the foreground."
shot_0009.jpg,longShot,A person wearing a backpack walks past a blurred crowd of people standing near a tree-lined street.
shot_0006.jpg,longShot,A crowd of people is running a race on a paved road lined with trees.
shot_0023.jpg,longShot,"A crowd of people, many in running attire, are gathered in a park-like setting."
shot_0007.jpg,longShot,"A blurry, grainy home movie shows a group of people, mostly wearing light-colored clothes, running on a road, with a young person in darker clothing running in front of them."
shot_0025.jpg,fullShot,A person wearing a white hat and the number 62 crosses the finish line of a race as spectators cheer.
shot_0003.jpg,mediumShot,"Two people wearing white tank tops are seen from behind, their bodies blurred and tinted purple."
shot_0012.jpg,detail,"A grainy, sepia-toned image shows the finish line of a race with a banner reading ""FRONT RUNNERS NY"" and ""FINISH"", surrounded by spectators and runners."
shot_0010.jpg,detail,"A mauve or dusty rose surface with small, dark flecks scattered across it is visible."
shot_0024.jpg,mediumCloseUp,"A blurry home video shows a group of people, one of whom is smiling at the camera."
shot_0019.jpg,longShot,"A grainy, slightly blurred image shows a man running in a road race, with other runners slightly out of focus behind and to the sides of him."
shot_0020.jpg,ambiguous,A blurry image shows a person's face.
shot_0002.jpg,longShot,A group of runners in white and light-colored clothing stands at a starting line while a man in white pants takes a picture.
shot_0004.jpg,mediumShot,Two men wearing tank tops and shorts walk away from the camera.
shot_0008.jpg,extremeLongShot,A group of runners moves down a tree-lined road as people watch from the side.
shot_0022.jpg,mediumCloseUp,"Two young men stand close together, one with his arm around the other's shoulders."
shot_0021.jpg,mediumShot,"A blurry, slightly overexposed image shows a group of men in suits and casual wear."
shot_0026.jpg,ambiguous,"A blurry, faded image shows a group of people."
shot_0017.jpg,mediumShot,"A blurry image shows a man running in a race, wearing a light-colored tank top with dark lettering and the number 1065."
shot_0013.jpg,detail,"A crowd of runners crosses the finish line of a race, under a banner that reads ""FINISH"" and a digital clock that shows 00:24:58."
shot_0014.jpg,detail,"A grainy image shows the finish line of a race, with a digital clock reading ""002500"", a banner that says ""FRONT RUNNERS NY FINISH"", and a crowd of people."
shot_0016.jpg,mediumCloseUp,A blurry crowd of people stands behind a fence.
shot_0011.jpg,detail,"A sepia-toned image shows a finish line banner that reads ""FRONT RUNNERS NY"" and ""FINISH"" with a blurred crowd of runners crossing it."
shot_0005.jpg,longShot,"A blurry, slightly purple-tinted home video shows several people walking in a wooded area."
shot_0018.jpg,longShot,"A blurry, slightly faded image shows several people running a race, with spectators lining the course."
shot_0000.jpg,mediumShot,"A blurry image shows two people, one in a light-colored tank top and another partially obscured on the left side of the frame, in front of some trees."
