shot,description
shot_0015.jpg,"A group of people march down a street, carrying banners for the North American Man/Boy Love Association."
shot_0001.jpg,"Grainy footage shows a person holding a sign that reads ""ER"" and a police officer standing in front of them."
shot_0009.jpg,A group of people hold signs and protest outdoors.
shot_0006.jpg,"A white surface with small, dark speckles is visible."
shot_0023.jpg,"The image appears to be a white background with small, sparsely scattered specks."
shot_0059.jpg,"A blurry, slightly overexposed close-up shot shows several people, some of whom appear to be men with beards and long hair."
shot_0007.jpg,"A faded, reddish film clip shows a group of people, some holding signs that say ""Vote 84""."
shot_0057.jpg,"A white surface is lightly speckled with small, dark particles."
shot_0056.jpg,"A blurry, faded, pink-toned image shows a group of people."
shot_0065.jpg,"A group of people march in a protest, some holding a banner that reads ""BEL PEACE A""."
shot_0025.jpg,"A blurry image shows a person with light hair and glasses, wearing a dark shirt or jacket."
shot_0003.jpg,"A pale surface with small, dark speckles is visible."
shot_0040.jpg,The top portion of the Chrysler Building in New York City is shown against a cloudy sky.
shot_0038.jpg,"A blurry image appears to show a person wearing a light-colored shirt, possibly viewed through a dirty or scratched surface."
shot_0037.jpg,A blurry crowd of people walks past a pole covered in posters.
shot_0047.jpg,"A blurry, close-up shot shows the words ""The Edge of Night"" in gold lettering on a dark purple jacket."
shot_0067.jpg,"A blurry, grainy image shows a group of people, some holding signs or flags, gathered together."
shot_0060.jpg,"A plain, light-pink wall with small dark speckles is visible."
shot_0062.jpg,"A textured, light dusty rose surface is shown."
shot_0012.jpg,"A group of people hold signs and march, some wearing sunglasses."
shot_0046.jpg,"A blurry, slightly reddish film shows a crowd of people and vehicles."
shot_0010.jpg,"A crowd of people holds signs that say ""Vote 64""."
shot_0039.jpg,A group of people walks down a city street carrying signs and flags.
shot_0049.jpg,"A person with short, dark curly hair wears a dark jacket and a red shirt while speaking into a microphone."
shot_0050.jpg,"A crowd of people stands in front of a bus, some looking towards the camera and others away."
shot_0061.jpg,"A blank, off-white surface with small dark speckles and a few faint vertical lines is visible."
shot_0066.jpg,"A blurry, slightly out-of-focus image shows a group of people."
shot_0024.jpg,"A grainy, slightly shaky shot shows a group of people, some holding signs and flags, walking down a city street, with a police officer's back to the camera in the foreground."
shot_0019.jpg,A blurry figure wearing a dark jacket stands in front of a blurry background with some indistinct markings.
shot_0020.jpg,"A blurry, reddish-tinted shot shows a group of people, some facing the camera and others with their backs turned."
shot_0002.jpg,"A pale green or beige surface with small, dark speckles is visible."
shot_0030.jpg,"A crowd of people marches down a city street, holding signs and banners, some of which read ""International for Lesbian Freedom""."
shot_0004.jpg,"A group of people stand together outside, some holding signs or papers."
shot_0008.jpg,"The image shows a light beige surface with small, dark speckles."
shot_0033.jpg,"A blurry, slightly overexposed shot shows a crowd of people, some of whom appear to be wearing uniforms or costumes."
shot_0034.jpg,"A blurry crowd of people, some holding signs, walks down a street."
shot_0032.jpg,"A blurry close-up of a person's neck and jaw, with other out-of-focus people in the background."
shot_0028.jpg,"A person holds a sign reading ""AMERICA GAY ATHEIST"" at a protest, with other people and a police officer visible in the background."
shot_0036.jpg,"A group of people march in a street, some holding signs and flags, during a protest or demonstration."
shot_0051.jpg,"A blurry, faded image shows a crowd of people standing close together outdoors."
shot_0022.jpg,"A blurry, reddish-tinted film shows several people, some in white clothing, and what appears to be a dark object."
shot_0021.jpg,"A blurry, reddish-tinted shot shows a group of men, one of whom has his arms raised."
shot_0035.jpg,"A blurry, pink-toned image shows a group of people, likely men, outdoors."
shot_0055.jpg,"A blurry, reddish-tinted image appears to show a group of people standing together outdoors."
shot_0026.jpg,"A blurry, slightly out-of-focus image shows a group of people, seemingly outdoors."
shot_0064.jpg,"A group of people, some wearing leather jackets, stand together in a city setting."
shot_0017.jpg,A blurry crowd of people is visible in the frame.
shot_0029.jpg,"A person wearing a hat, pink shirt, and overalls holds a sign reading ""Santa Claus is a Fairy [and/or] need your [heart]"" at a parade or public gathering."
shot_0013.jpg,"A crowd of people, some holding signs and banners, marches down a street."
shot_0014.jpg,"A group of people, some holding signs advocating for socialism and revolution, walk down a city street alongside police officers."
shot_0031.jpg,"A slightly out-of-focus, low-angle close-up shot shows the face of a person wearing a police cap with the number ""es800"" visible."
shot_0048.jpg,"The image is blurry, dark, and appears to show a crowd of people out of focus."
shot_0016.jpg,"A group of people march down a city street, carrying signs and banners with various slogans, including ""REMEMBER,"" ""STOP PO,"" ""NEW YORK UNIVERSITY LESBIAN LAWS,"" and ""NATIONAL."""
shot_0068.jpg,"A group of people march down a city street, carrying signs and banners."
shot_0041.jpg,"A group of people march down a city street, carrying a sign that reads ""American Gay Atheists""."
shot_0045.jpg,"A piece of off-white paper is visible, with small specks and a few faint lines scattered across its surface."
shot_0011.jpg,"A blurry, sepia-toned image appears to show people and objects, possibly a store setting."
shot_0052.jpg,"A blurry, faded image shows a crowd of people, some of whom appear to be talking to each other."
shot_0054.jpg,"A blurry, slightly shaky shot shows a crowd of people on a city street, some of whom are wearing sunglasses."
shot_0005.jpg,"A blurry, faded image shows a group of people."
shot_0018.jpg,"A crowd of people, some holding signs and banners, walks down a city street."
shot_0058.jpg,"A blurry image shows a group of people, some holding signs or flags."
shot_0000.jpg,"A blurry, faded, light-green surface fills the frame."
shot_0063.jpg,A blurry image shows three men.
shot_0043.jpg,A grainy shot shows the side of a tall white building towering over shorter brick buildings.
shot_0042.jpg,A low-angle shot shows the upper portion of the Chrysler Building against a cloudy sky.
shot_0044.jpg,A group of people walk down a sidewalk in front of parked cars.
shot_0053.jpg,"A blurry, slightly pixelated crowd of people stands near a bus."
shot_0027.jpg,"Blurry footage shows protest signs, including one that reads ""AME,"" and a person wearing a red cap."
