shot,description
shot_0015.jpg,"A blurry, dark, grainy image shows several people standing and walking near some fencing or railings."
shot_0001.jpg,"A group of people, some shirtless, are seen in a dimly lit space."
shot_0009.jpg,"Two people in shorts and t-shirts stand in a blurry, discolored image."
shot_0006.jpg,"A grainy, shaky home video shows people walking and talking."
shot_0023.jpg,"A blurry, grainy film image shows people dancing in a dark room, with one person in the foreground wearing a dark red and white striped shirt."
shot_0007.jpg,"A grainy, blurry image shows the profile of a person with reddish hair wearing a white tank top, facing left, and seemingly talking to someone just out of frame to the left."
shot_0025.jpg,"A blurry, grainy film image shows people outdoors, with a woman taking a photo in the foreground and other individuals standing behind a thin red barrier."
shot_0003.jpg,"A blurry close-up shows part of a person's torso and arm, possibly wearing a light-colored shirt."
shot_0040.jpg,A man wearing a Gay Pride Run t-shirt writes on a piece of paper attached to a ladder.
shot_0038.jpg,"Grainy footage shows a man in a tank top and shorts running towards the camera, with other runners behind him."
shot_0037.jpg,"A close-up, slightly grainy image shows two people, one wearing aviator-style sunglasses and smiling, and the other looking towards the first person."
shot_0012.jpg,"Grainy footage shows runners in a race, with spectators standing on the side."
shot_0046.jpg,The image is a solid white square.
shot_0010.jpg,"Grainy footage shows a crowd of people, some in swimwear, walking down a street near a finish line."
shot_0039.jpg,"A blurry image shows a runner on a road, surrounded by a crowd of spectators."
shot_0024.jpg,"Three people, seemingly shirtless or wearing tank tops, stand close together, their bodies partially obscured by visual noise or distortion."
shot_0019.jpg,"A blurry, grainy, and dark image appears to show a group of people standing in a dimly lit area at night."
shot_0020.jpg,A blank white surface is visible with a few tiny specks.
shot_0002.jpg,"A blurry, grainy image shows several people, some wearing light-colored shirts and one wearing a dark shirt, standing near a railing and trees."
shot_0030.jpg,"Blurry footage shows the shoulders and backs of two people wearing white tank tops, with the face of a third person visible on the right edge of the frame."
shot_0004.jpg,A man signs something for a person while another person watches.
shot_0008.jpg,"A white surface with small, faint yellowish spots is visible."
shot_0033.jpg,"A group of people in colorful athletic attire are huddled together, some appearing to help another person on the ground."
shot_0034.jpg,"A blurry, grainy film shows a group of people behind a red ribbon barrier, some of whom appear to be working on or near a wooden structure with a ladder."
shot_0032.jpg,A blurry figure wearing a t-shirt stands in front of some foliage.
shot_0028.jpg,"A blurry, vintage film shot shows runners crossing a finish line with spectators on either side."
shot_0036.jpg,Grainy footage shows several runners on a tree-lined road.
shot_0022.jpg,"A blurry, close-up shot shows a group of people, some of whom appear to be wrestling or fighting."
shot_0021.jpg,"A blurry, close-up shot shows a person wearing a reddish-pink and white garment."
shot_0035.jpg,A group of runners jogs down a paved road next to a wooded area.
shot_0026.jpg,A blurry close-up shot shows a person's shoulder and another person wearing a white shirt and hat.
shot_0017.jpg,"A blurry, grainy image shows people near a finish line, some of whom appear to be runners."
shot_0029.jpg,"A blurry, dark image shows several people at night, possibly on a street or sidewalk."
shot_0013.jpg,"A blurry, reddish-tinted shot shows a group of people, some seemingly runners, on a path bordered by a thin rope."
shot_0014.jpg,A blurry figure appears to be skateboarding in dim light.
shot_0031.jpg,"A grainy, blurry crowd of people, some in athletic wear with numbers, are gathered closely together."
shot_0016.jpg,"A grainy, slightly shaky home video shows a crowd of runners at a race, with a person in the foreground wearing a light-colored tank top."
shot_0041.jpg,Two race officials stand facing a group of runners who are lined up at a starting line.
shot_0045.jpg,"A blurry, color-shifted image shows a group of people, some appearing to eat or smoke, while sitting close together."
shot_0011.jpg,"A blurry, blue-toned image shows a group of people, some of whom appear to be runners, moving along a path or road."
shot_0005.jpg,"Grainy footage shows people on horseback jumping over obstacles in a park, with a red and yellow caution tape in the foreground."
shot_0018.jpg,"A blurry, distorted image shows a group of figures, some holding instruments, on a brightly colored stage."
shot_0000.jpg,"A sepia-toned, textured surface fills the frame."
shot_0043.jpg,A grainy film shows a woman running a road race as spectators and a bicyclist watch.
shot_0042.jpg,"A blurry image shows two people sitting outdoors at night, one wearing a white shirt and the other wearing dark clothing."
shot_0044.jpg,Several trophies with plaques sit on a shelf.
shot_0027.jpg,"A blurry, grainy home video shows a group of young men in a wooded area."
