shot,shot_type,description
shot_0021.jpg,ambiguous,"A distorted, pixelated image shows a building, trees, and a sign reading ""OT CROSS."""
shot_0034.jpg,ambiguous,"A blurry, light cyan-colored image shows indistinct shapes and small dark specks."
shot_0027.jpg,ambiguous,People are partially visible behind a reddish-brown railing.
shot_0010.jpg,ambiguous,A blurry close-up shot shows the back and right arm of a person wearing a light-colored shirt with darker ruffled trim.
shot_0023.jpg,longShot,"A grainy, purplish film image shows a crowd of people walking down a city street, some wearing shorts and other summer clothing."
shot_0030.jpg,ambiguous,"A blurry, cyan-toned image shows a finish line and blurred figures, likely from a race or sporting event."
shot_0022.jpg,longShot,"A blurry, reddish-tinted image shows people and vehicles on a city street, possibly during a parade or gathering."
shot_0031.jpg,ambiguous,"A blurry, darkly lit image shows a group of people, some of whom appear to be children."
shot_0005.jpg,longShot,"A blurry, heavily pixelated, and color-distorted image appears to show a crowd of people, some of whom may be dancing or moving rhythmically."
shot_0002.jpg,closeUp,"A white surface is sparsely speckled with small, dark blue spots and marks."
shot_0000.jpg,ambiguous,"A solid blue screen is visible, with some small, faint scratches or dust particles."
shot_0013.jpg,longShot,"A grainy, reddish film shows people carrying a banner that reads ""GAY/LESBIAN RIDE DAY 10"" at a parade."
shot_0033.jpg,ambiguous,"A blurry, blue-toned image appears to show a crowd of people, some shirtless, behind a railing or fence."
shot_0025.jpg,ambiguous,"A white background is lightly speckled with small, predominantly blue dots."
shot_0011.jpg,mediumShot,"A blurry, grainy image shows a group of people in what appears to be a dimly lit room."
shot_0004.jpg,mediumShot,"A blurry, low-quality image shows a group of people in a dark setting, with one person holding a sign that reads ""ITN""."
shot_0024.jpg,mediumCloseUp,"A blurry, magenta-tinted crowd of people is visible."
shot_0006.jpg,mediumShot,"Two people wearing t-shirts, one with a hat, stand in a room."
shot_0036.jpg,longShot,"Several shirtless men, one wearing a race bib with the number 1203, stand near large white containers."
shot_0016.jpg,ambiguous,"A distorted image shows a wall with graffiti, including the partial words ""LESBIAN"" and ""HUMAN."""
shot_0017.jpg,ambiguous,"A blurry, low-quality image shows parts of a baseball stadium, including a sign reading ""STAMP OUT AIDS"" and parts of two figures, possibly players."
shot_0026.jpg,ambiguous,"A blurry, grainy image appears to show a person bending down behind bars, possibly in a jail cell."
shot_0028.jpg,ambiguous,"A blurry, color-shifted image shows figures behind a railing or fence."
shot_0019.jpg,detail,"A blurry image shows a brick wall with signs reading ""STAMP OUT AIDS"" and ""FU KHIS""."
shot_0003.jpg,mediumCloseUp,"A blurry, distorted image shows a group of people in a dimly lit space, bathed in red and purple light."
shot_0001.jpg,closeUp,"The image shows a white background with small, sparsely scattered dark blue specks."
shot_0009.jpg,ambiguous,"A blurry, purple-toned image shows figures and speckles, possibly dirt or damage to the film."
shot_0008.jpg,ambiguous,"A blurry, color-distorted image appears to show part of a baseball field with bleachers in the background and a figure in the foreground."
shot_0032.jpg,ambiguous,"A distorted, brightly colored abstract image is displayed, possibly a corrupted video still or digital art piece."
shot_0018.jpg,ambiguous,"A blurry, distorted image shows a wall with posters that read ""STAMP OUT AIDS"" and ""FLU KILLS"" taped to it."
shot_0007.jpg,ambiguous,"A digitally distorted image depicts a group of people on a busy street, with colorful, pixelated patterns overlaying the scene and text fragments visible."
shot_0035.jpg,mediumShot,"A blurry, color-shifted image shows a person wearing a tank top with the number 1203 on it."
shot_0012.jpg,longShot,"A group of people march in a parade, carrying banners that read ""National Assoc. Black & White Men"" and ""Back and White Together-Men""."
shot_0020.jpg,ambiguous,A blurry cyan image displays faded rectangular shapes and small dark specks.
shot_0014.jpg,mediumShot,"A blurry, vintage-looking image shows a group of people, with a woman with brown hair in the foreground."
shot_0029.jpg,ambiguous,"A blurry, distorted image shows a person wearing a tank top and dark pants standing behind a railing, with other figures and a fence visible in the background."
shot_0038.jpg,closeUp,The image is entirely black.
shot_0015.jpg,mediumCloseUp,Blurry figures wearing hats and sunglasses are visible in the frame.
shot_0037.jpg,longShot,"A group of people, some shirtless and some wearing running clothes, stand behind a metal barricade."
