shot,shot_type,description
shot_0016.jpg,mediumShot,"A grainy black and white photo shows a group of people, with a bearded man wearing glasses in the foreground."
shot_0019.jpg,ambiguous,Grainy black and white footage shows the faces of people in a crowd.
shot_0013.jpg,mediumShot,"A grainy, black and white image shows a crowd of people, some of whom are blurred or partially obscured."
shot_0011.jpg,mediumShot,"A grainy, black and white image shows a crowd of people, some holding a banner with female and male gender symbols intertwined."
shot_0002.jpg,mediumShot,"A grainy, black and white image shows a group of people, one of whom is wearing sunglasses."
shot_0022.jpg,mediumCloseUp,"A grainy, black and white close-up shows part of a person's face and shoulder."
shot_0014.jpg,mediumShot,"A grainy, black and white image shows a group of people, some facing the camera and some facing away."
shot_0008.jpg,longShot,"A grainy, black and white photo shows a large crowd of people, some holding signs and banners, at what appears to be a march or protest."
shot_0025.jpg,mediumShot,"A grainy, black and white image shows a crowd of people, some of whom are wearing sunglasses."
shot_0006.jpg,ambiguous,"Grainy black and white footage shows a group of people, some with large afros."
shot_0001.jpg,mediumShot,"A grainy, black and white image shows two people, one facing the camera and one with their back turned."
shot_0024.jpg,detail,"Graffiti on a wall, possibly concrete, spells out ""FXPLOT"" with additional letters and symbols."
shot_0018.jpg,mediumShot,"A black and white photo shows part of a sign that reads ""R ALL, RICAN MAN RU ASSOCIATION,"" with a young Black person wearing a cap partially visible in the foreground."
shot_0012.jpg,mediumShot,"A grainy, black and white image shows a group of people, some holding signs with partially visible text."
shot_0020.jpg,mediumCloseUp,"A grainy black and white image shows several people, with the focus on a woman wearing a hat."
shot_0015.jpg,ambiguous,"A blurry, grainy black and white image appears to show a person wearing a peaked cap."
shot_0009.jpg,mediumShot,"A grainy, black and white photo shows a group of people, some wearing hats and some holding signs, with a police officer on the right."
shot_0010.jpg,mediumShot,"A black and white photo shows a crowd of people, some holding signs, with two men in the foreground."
shot_0004.jpg,extremeLongShot,"A grainy, black and white image shows a crowd of people behind a sign that reads ""ANXIETY""."
shot_0005.jpg,ambiguous,"A grainy, black and white image shows what appears to be a person lying in a bed with blankets."
shot_0026.jpg,mediumShot,"A grainy black and white image shows a crowd of people, with one man with a mustache in the foreground."
shot_0017.jpg,mediumShot,"A blurry, grainy, black and white image shows several people, with a person in the foreground appearing to be looking at the camera."
shot_0007.jpg,longShot,"A grainy black and white image shows a crowd of people, many of whom are turned towards the camera."
shot_0023.jpg,mediumShot,"A blurry, black and white close-up shows a group of people, some wearing hats."
shot_0021.jpg,closeUp,"A grainy, close-up, black and white image shows part of a person's face, including their nose, mouth, chin, and ear."
shot_0000.jpg,detail,"Two dark, abstract, roughly v-shaped forms appear on a light background."
shot_0003.jpg,mediumShot,"A grainy, black and white image shows a crowd of people, with a person wearing sunglasses in the foreground."
