shot,shot_type,description
shot_0188.jpg,mediumShot,A man wearing an orange sweatshirt and headband gestures with his hands while sitting next to another person in a brown jacket.
shot_0162.jpg,mediumShot,"A crowd of people, some wearing leather jackets and some wearing police uniforms, stand facing the camera."
shot_0034.jpg,longShot,"A blurry, faded image shows a person in a long white dress leading a parade or procession, with a crowd of onlookers watching and clapping."
shot_0029.jpg,mediumShot,"A group of people, some wearing light-colored shirts and hats, hold a banner that reads ""WITH AID"" at a protest, with a sign featuring a hand and triangle symbol visible in the background."
shot_0184.jpg,ambiguous,"The image appears to be an abstract close-up, possibly of wrinkled fabric or a textured surface, with dark purple and reddish tones."
shot_0001.jpg,ambiguous,A bunch of white balloons floats in front of a building.
shot_0158.jpg,mediumCloseUp,A person wearing a purple hood is wrapped in a beige blanket.
shot_0102.jpg,mediumCloseUp,"A blurry, color-shifted crowd of people, some wearing purple shirts with a ""No Nukes"" symbol, are seen at what appears to be a protest or rally."
shot_0098.jpg,longShot,A crowd of people with purple skin tones walks down a city street.
shot_0056.jpg,longShot,"A blurry, purple-tinted image appears to show a group of people walking."
shot_0003.jpg,mediumShot,"A group of people march in a street, carrying banners and balloons."
shot_0197.jpg,mediumShot,"A person sits in profile view, facing right, and appears to be playing a keyboard in a dimly lit, blue-toned room."
shot_0106.jpg,fullShot,"A person shines shoes on a sidewalk while other people stand nearby, one holding a ""SILENCE=DEATH"" sign."
shot_0014.jpg,closeUp,"A close-up shot shows the profile of a person wearing a hat, with another person's profile slightly visible behind them."
shot_0077.jpg,mediumShot,"A crowd of people, some holding signs and balloons, is shown."
shot_0136.jpg,closeUp,"A close-up, slightly blurred, purple-toned image shows a person with glasses and dark hair, their mouth open as if speaking, in front of a textured background."
shot_0057.jpg,ambiguous,A blurry purple image with darker purple and blue indistinct shapes.
shot_0222.jpg,extremeLongShot,"A blurry image shows a section of a stadium crowd, with banners reading ""ACT UP"" and ""SILENCE=DEATH""."
shot_0050.jpg,ambiguous,"A blurry, dark red image appears to show crumpled fabric or clothing."
shot_0214.jpg,ambiguous,"A close-up shot shows a banner with the word ""SILENCE"" painted in large, white block letters."
shot_0213.jpg,ambiguous,A blurry close-up of purple flowers.
shot_0051.jpg,longShot,"A blurry figure sits wrapped in a blanket in a dark, reddish-lit room."
shot_0133.jpg,extremeLongShot,"A blurry, dark image with a bright purple-pink light source."
shot_0043.jpg,extremeLongShot,"A blurry, dark red and purple image shows an indistinct surface, possibly fabric or a textured wall."
shot_0025.jpg,ambiguous,Dim blue lights are visible against a black background.
shot_0054.jpg,ambiguous,"The image shows crumpled, dark pink fabric or petals."
shot_0177.jpg,longShot,"A crowd of people holds signs and banners related to AIDS activism, with some signs reading ""SILENCE = DEATH"", ""FOR LIFE"", and ""FUND AIDS NOT WAR""."
shot_0129.jpg,fullShot,"A grainy, low-quality photo shows police officers arresting someone next to a bus."
shot_0113.jpg,mediumCloseUp,"A blurry, dark image appears to show a group of people."
shot_0120.jpg,longShot,"A group of protestors, some sitting and some standing, hold signs and gather on a city street."
shot_0146.jpg,ambiguous,"This appears to be an image of a crowd with superimposed images and names of political figures, possibly from a protest or rally."
shot_0000.jpg,mediumShot,A person in a white coat writes on the back of a person lying face down.
shot_0040.jpg,ambiguous,"A blurry, close-up image shows a brick building with windows and a fire escape with plants growing on it."
shot_0011.jpg,mediumCloseUp,"A blurry, grainy, black and white image appears to show a piece of camera equipment in the lower left corner."
shot_0060.jpg,longShot,"A blurry, low-quality image shows a group of people standing around what appears to be a wrestling ring or similar surface."
shot_0181.jpg,mediumCloseUp,"A police officer, wearing gloves, appears to be interacting with someone off-screen."
shot_0216.jpg,detail,"A blurry image shows a sign in a crowd that reads ""MEN! USE CONDOMS""."
shot_0200.jpg,extremeLongShot,"A blurry, wide shot shows a baseball game being played in a stadium full of people."
shot_0004.jpg,fullShot,"A group of people march in a parade, some holding a banner reading ""THE LESBIAN & G BIG APPLE COR""."
shot_0170.jpg,mediumCloseUp,"A blurry, close-up image shows a person's face and the top of their shoulders."
shot_0201.jpg,mediumShot,"A crowd of people sit in purple stadium seats, some holding signs and papers."
shot_0223.jpg,mediumShot,"A blurry, blue-toned image shows several people, some wearing hats, with one in the foreground giving a thumbs up."
shot_0031.jpg,longShot,"A grainy, purple-toned image shows a group of people on a float, behind a banner reading ""TEST DRUGS NOT PEOPLE."""
shot_0018.jpg,mediumCloseUp,"A blurry, close-up shot of people, some holding balloons with writing on them, at what seems to be a dimly lit gathering or event."
shot_0187.jpg,closeUp,"A close-up, slightly blurry image shows a person's face wearing a light-colored hat."
shot_0080.jpg,mediumShot,"A blurry, color-shifted photo shows a person in a dark shirt, possibly with another person behind them."
shot_0159.jpg,longShot,"A person lies on the roof of a bus, and several people, some in uniform, stand near the bus windows."
shot_0039.jpg,extremeLongShot,"Faint, illuminated clouds are scattered across a dark sky."
shot_0041.jpg,longShot,People stand on a floor covered with what appear to be purple banners or posters.
shot_0112.jpg,fullShot,"A crowd of people, some holding signs and a modified American flag with purple stripes, gather in a city street."
shot_0019.jpg,longShot,"A blurry, low-quality image shows a group of people sitting and standing on a sidewalk, some holding balloons."
shot_0168.jpg,mediumShot,"A blurry figure, possibly wearing light-colored clothing, holds a thin, light-colored object."
shot_0127.jpg,fullShot,Police officers detain a person on a city street while people watch.
shot_0219.jpg,mediumShot,A man with his arms crossed stands in front of trees.
shot_0030.jpg,mediumShot,"A group of people, some wearing t-shirts with slogans, are seen in a blurry, purple-toned image."
shot_0076.jpg,extremeLongShot,A blurry image shows a purple balloon and a blurry orange light against a dark background.
shot_0192.jpg,longShot,Silhouetted figures stand on a platform with a camera on a tripod to the right.
shot_0160.jpg,mediumShot,"A blurry, color-shifted image shows a group of people, one of whom has dark curly hair and glasses, and is touching their hair."
shot_0211.jpg,mediumCloseUp,"A blurry, dark image shows what appears to be the head and shoulders of a person."
shot_0015.jpg,mediumShot,"Three men stand shoulder to shoulder, two holding small, light-colored objects."
shot_0193.jpg,extremeLongShot,A person is sitting on the edge of a building's roof.
shot_0175.jpg,fullShot,"A person lies on the ground covered by a sheet with drawings on it, while another person's legs and part of their body are visible in the bottom right corner."
shot_0104.jpg,ambiguous,"A grainy, sepia-toned image appears to show steam or smoke billowing out from behind a large, ribbed structure, possibly a door or gate."
shot_0130.jpg,mediumShot,"A grainy, dark image shows the view from inside a vehicle's cab, with a figure visible through the windshield and a steering wheel in the foreground."
shot_0194.jpg,mediumShot,"Two people stand near a purple bush, one holding a chainsaw and the other a camera."
shot_0081.jpg,mediumShot,"Two people, one facing the camera and the other with their back to it, are visible in a pink-tinted image."
shot_0203.jpg,mediumCloseUp,"Two men face each other, and one appears to be talking."
shot_0061.jpg,extremeLongShot,"A blurry, cyan-toned image appears to show a group of people, some possibly wearing hats."
shot_0074.jpg,mediumShot,"A blurry, grainy image shows the faces of several people, possibly in a crowd."
shot_0069.jpg,mediumShot,"A group of people, some holding a sign that reads ""LIVING with AIDS 3 yrs 2 mos counting! NO THANKS TO YOU MR REAGAN"", are visible in the frame."
shot_0176.jpg,longShot,"A crowd of protesters marches with signs and banners, some reading ""SILENCE=DEATH""."
shot_0002.jpg,closeUp,A person with bare shoulders holds a bouquet of flowers close to their face.
shot_0059.jpg,longShot,"A blurry, pink-toned image appears to show a crowd of people."
shot_0021.jpg,closeUp,A blurry close-up shows a person holding a brightly lit phone in front of another person's face in a dark room.
shot_0062.jpg,longShot,"A blurry, dark image shows a crowd of people and a flat surface in the foreground."
shot_0138.jpg,extremeLongShot,The image shows light blue flowers in a dark garden.
shot_0164.jpg,fullShot,People are lying on the ground in front of other people holding signs and tombstones.
shot_0066.jpg,ambiguous,Purple flowers grow on vines in front of a chain-link fence.
shot_0032.jpg,ambiguous,A large collection of dark purple and grayish-purple balloons hangs from strings against a purple wall.
shot_0078.jpg,mediumShot,"A blurry, close-up shot shows a group of people, one of whom is wearing a dark t-shirt with a pink triangle and the words ""SILENCE=DEATH""."
shot_0169.jpg,ambiguous,"Blue flames burn on top of a dark, crumbly substance next to a stone or cement surface."
shot_0126.jpg,longShot,"A blurry, dark, and purplish-tinted close-up shows a group of people, possibly moving or dancing."
shot_0013.jpg,mediumCloseUp,"A blurry image shows the faces of several men, some appearing to have mustaches."
shot_0199.jpg,ambiguous,"The letters ""COND"" are partially visible in white against a black background."
shot_0107.jpg,fullShot,"A grainy image shows several people, some holding signs that read ""SILENCE=DEATH"", in front of a metal fence."
shot_0101.jpg,mediumCloseUp,"Close-up of textured fabric, possibly silk or satin, with folds and shadows."
shot_0070.jpg,fullShot,"A group of people hold a large banner that says ""SILENCE = DEATH""."
shot_0137.jpg,longShot,"A blurry, purple-toned image shows a group of people, possibly police officers in uniform, standing together."
shot_0026.jpg,mediumCloseUp,A caricatured puppet with exaggerated features and a suit and tie is visible in a dimly lit setting.
shot_0135.jpg,closeUp,"A blurry, purple-toned image appears to show a person's head and hand."
shot_0052.jpg,ambiguous,"The image appears to show crumpled fabric, possibly velvet or a similar textured material, in shades of dark purple or maroon."
shot_0022.jpg,mediumCloseUp,"Two faces are barely visible in a dark, grainy image."
shot_0044.jpg,extremeLongShot,"A blurry, purple-toned image shows what appears to be an open book or pamphlet on a flat surface."
shot_0110.jpg,closeUp,"A blurry, close-up profile shot shows the right side of a person's face."
shot_0118.jpg,mediumShot,"A blurry, grainy image shows people holding signs and appearing to protest, with one person in the foreground holding a sign that says ""PUT A PRICE ON LIFE""."
shot_0067.jpg,closeUp,"A blurry, close-up shot shows a pair of hands gripping a chain-link fence."
shot_0207.jpg,mediumShot,"A blurry image shows several people, some wearing hats and jackets, sitting in a dark space, possibly a stadium or theater."
shot_0173.jpg,longShot,"A grainy, blurry image appears to show a man in a uniform standing inside a room with various items visible through a window or doorway."
shot_0096.jpg,longShot,"A blurry, hazy image shows a crowd of people, some holding signs and some running."
shot_0153.jpg,mediumShot,"A blurry image shows a group of people, some holding signs and one wearing a sweatshirt reading ""AMERICA ISN'T DOING SHIT""."
shot_0075.jpg,fullShot,"A crowd of people, some holding signs and some wearing police uniforms, is gathered on a city street."
shot_0220.jpg,mediumShot,"Four people, likely young women, are shown from the waist up in a darkened space, clapping or dancing."
shot_0123.jpg,mediumCloseUp,"A blurry, purple-toned image shows a person in a suit being escorted by someone wearing a uniform."
shot_0215.jpg,mediumShot,"A group of people, some wearing jackets and hats, are seen in a blurry, low-quality image. One person has their arms raised."
shot_0108.jpg,extremeLongShot,"A grainy, faded photo shows a protest with signs and people gathered in a city street in front of a church and tall buildings."
shot_0105.jpg,closeUp,"A close-up, slightly grainy image shows part of a person's face."
shot_0116.jpg,mediumCloseUp,"A blurry, close-up shot shows a person's torso, clothed in muted colors, with a purple bag slung across their chest."
shot_0218.jpg,detail,Close-up of pale purple tulips.
shot_0190.jpg,mediumCloseUp,A person wearing a brown leather helmet and brown jacket looks to the left.
shot_0085.jpg,mediumShot,"A person with arms crossed is standing in front of some trees, with the image tinted pink/purple."
shot_0122.jpg,mediumShot,"A blurry, grainy image shows a group of people, some facing the camera and some facing away, possibly at a protest or rally."
shot_0038.jpg,ambiguous,Grayscale satellite imagery shows cloud formations over a body of water.
shot_0134.jpg,mediumShot,"A crowd of people, some holding signs that say ""AIDS,"" are seen in a purple-tinted image."
shot_0182.jpg,longShot,A group of people stand on a city sidewalk near a sign advertising dextram sulfate for sale.
shot_0009.jpg,closeUp,"A close-up, dimly lit image shows part of a person's face with their eyes closed."
shot_0028.jpg,mediumShot,"A blurry, partially obstructed view shows a white building with wooden supports, blue and white decorations, and the backs of several people's heads."
shot_0006.jpg,mediumShot,"A blurry image shows a group of people, some holding signs, one of which reads ""AGE 31""."
shot_0095.jpg,fullShot,A blurry figure in purple and dark red clothing stands with their hand on their hip.
shot_0063.jpg,longShot,"A blurry, dark image appears to show a small crowd of people standing on a beach."
shot_0186.jpg,mediumCloseUp,"A blurry image shows a person holding a light-colored cone-shaped object, possibly a megaphone, with another person slightly out of focus in the background."
shot_0094.jpg,fullShot,"A blurry figure in purple clothing is shown from the knees up, facing right, against a blurry purple background."
shot_0171.jpg,mediumShot,A group of people protest Ronald Reagan with signs and angry expressions.
shot_0082.jpg,extremeLongShot,A blurry photo depicts green trees and bushes.
shot_0157.jpg,fullShot,"Grainy footage shows police officers in brown uniforms, one of whom appears to be arresting someone."
shot_0161.jpg,mediumShot,"A blurry, sepia-toned image shows people, some in riot gear, and a person's head and glasses in the foreground."
shot_0142.jpg,ambiguous,A close-up shot of purple flowers and green leaves.
shot_0087.jpg,ambiguous,"A blurry, pink-toned image appears to show a person standing near some trees or bushes."
shot_0166.jpg,longShot,"A blurry image shows people protesting AIDS deaths, with a sign displaying a death count and a person speaking on a platform."
shot_0156.jpg,mediumShot,"A blurry, purplish-tinted crowd of protesters holds signs and marches."
shot_0049.jpg,ambiguous,"The image appears to show dark red, crumpled fabric or a similar textured surface."
shot_0005.jpg,longShot,"A blurry, low-angle shot shows the legs and feet of people walking in a line."
shot_0020.jpg,longShot,"A blurry crowd of people, some wearing hats, are seen from behind."
shot_0209.jpg,mediumCloseUp,"A blurry image shows several people in a darkened theater, with one person in the foreground holding a cup."
shot_0036.jpg,ambiguous,A blurry black and white image appears to show a person crouching and possibly holding something.
shot_0152.jpg,fullShot,"A crowd of people, some appearing to protest or argue, are gathered in a public space."
shot_0055.jpg,fullShot,"A blurry, purplish image shows people walking on what appears to be a large surface covered in posters or newspapers."
shot_0149.jpg,mediumCloseUp,"A blurry, close-up image shows several people wearing sunglasses, some facing the camera and some facing away."
shot_0058.jpg,ambiguous,"A blurry, textured image features shades of purple and a light gray triangular shape."
shot_0114.jpg,longShot,"A large crowd of people, many with cameras, are gathered and taking pictures."
shot_0042.jpg,extremeLongShot,"A blurry, purple-toned image appears to show patterned fabric or carpet."
shot_0037.jpg,extremeLongShot,"The image shows a grayscale view of a textured surface, possibly ice or clouds, with various patterns and shades of gray."
shot_0073.jpg,longShot,"A crowd of people marches, carrying signs and balloons, some of which depict Richard Nixon and the word ""guilty."""
shot_0205.jpg,ambiguous,A group of people are holding and unfolding a large flag or banner.
shot_0167.jpg,mediumCloseUp,A blurry image shows a vertical band of purple next to textured light purple and gray.
shot_0143.jpg,longShot,"Protestors hold signs depicting various political figures with the word ""guilty"" on their foreheads."
shot_0221.jpg,closeUp,"A close-up, grainy image shows a face illuminated by blue light."
shot_0185.jpg,mediumShot,"A group of people wearing brown shirts and headbands are gathered together, some appearing to hold or support another person."
shot_0204.jpg,longShot,A blurry crowd of people is seen in what appears to be stadium seating.
shot_0198.jpg,mediumCloseUp,"A blurry, dark image with shades of purple and hints of light."
shot_0079.jpg,mediumShot,"A blurry, darkly-lit image shows a group of people, some of whom are wearing sunglasses."
shot_0183.jpg,ambiguous,"A blurry, pink-toned image appears to show a table with plants, a bowl, a plate, and some utensils."
shot_0117.jpg,mediumShot,"A crowd of people, some clapping and some with raised arms, are shown in what looks like a meeting or rally."
shot_0007.jpg,mediumShot,"A blurry image shows a group of people, some of whom hold small paper cups attached to strings."
shot_0100.jpg,mediumShot,Police officers stand near protesters holding signs about God and homosexuality.
shot_0035.jpg,ambiguous,"A blurry, light purple-toned image appears to show a street scene with people walking, including a figure in a dress and what looks like a policeman."
shot_0012.jpg,detail,Close-up of purple tulips.
shot_0140.jpg,ambiguous,Purple and white tulips are shown in a close-up shot.
shot_0071.jpg,longShot,"A grainy, rainy shot shows people marching down a city street with a banner reading ""LET THE RECORD SHOW"" while holding signs showing faces and the word ""GUILTY""."
shot_0131.jpg,longShot,Grainy footage shows a bus with people leaning out the windows and a person standing on the street in the foreground.
shot_0124.jpg,fullShot,A person is being escorted by police officers through a crowd.
shot_0064.jpg,detail,"The image shows a textured, teal surface."
shot_0147.jpg,mediumCloseUp,A grainy image shows a man speaking into a microphone.
shot_0172.jpg,closeUp,"A blurry, dark image shows part of a person's face."
shot_0099.jpg,mediumShot,"A blurry, grainy image appears to show a crowd of people, some holding signs, with a man in a white shirt and tie in the foreground."
shot_0065.jpg,detail,"A close-up, slightly out-of-focus image shows a blanket or textile with sections of blue fabric and white fabric with purple lettering that reads ""DAVID DEL REY""."
shot_0121.jpg,mediumShot,A person wearing a dark jacket with circular badges holds a transparent sheet above their head.
shot_0178.jpg,detail,"A photo shows a banner reading ""SILENCE=DEATH,"" a building address ""5600,"" and a protest sign about the federal interest rate."
shot_0024.jpg,extremeLongShot,"Dim, bluish-white lights are scattered in the darkness."
shot_0008.jpg,mediumCloseUp,"A person wearing a plaid shirt holds a small, lit candle in a paper cup."
shot_0045.jpg,extremeLongShot,"The image appears to be of a dark purple or maroon textured surface, possibly fabric or a blurry close-up of a painted surface, with darker lines and some lighter areas."
shot_0119.jpg,mediumShot,"A slightly blurry, close-up shot shows several people in a crowd, two of whom are in the foreground, one with sunglasses and a light jacket, and the other with a purple shirt and dark jacket."
shot_0093.jpg,ambiguous,"A blurry, purple-toned image appears to show a person standing near a bush or small tree."
shot_0144.jpg,ambiguous,"A blurry, pixelated image shows a group of figures in red, some with the word ""Helms"" visible on their shirts, against a green background."
shot_0033.jpg,mediumShot,"A blurry, purple-toned image shows a crowd of people, some dancing, at what appears to be a nighttime parade or street festival."
shot_0109.jpg,extremeLongShot,"A grainy, slightly purple-toned image shows a crowd of people and vehicles near a large, dark building, some holding signs and banners."
shot_0115.jpg,closeUp,"A blurry, close-up image shows part of a person's face."
shot_0068.jpg,fullShot,People wearing dark clothing stand and kneel around quilts on the floor.
shot_0180.jpg,extremeLongShot,A helicopter flies against a dark reddish-brown background.
shot_0155.jpg,fullShot,A person wearing a white garment with purple dye on it and purple gloves is being held by others.
shot_0208.jpg,longShot,"A grainy, blurry image shows a baseball game in progress, with players on the field and in the dugout."
shot_0088.jpg,ambiguous,A blurry figure in a dark purple sweater stands near some blurry plants.
shot_0083.jpg,mediumShot,"A person with arms crossed stands in front of a treeline, with pink tinting over the entire image."
shot_0195.jpg,mediumShot,"Three people stand outside a building, with dappled light and shadows on the brick wall."
shot_0148.jpg,mediumCloseUp,"A person wearing a patterned sweater speaks into a microphone, with a round sticker pinned to their sweater."
shot_0027.jpg,mediumCloseUp,"This is a close-up, inverted-color image of a person's face and upper body."
shot_0145.jpg,ambiguous,"A dark green image shows headshots of men with names below them, including ""Reagan"" and ""Helms""."
shot_0151.jpg,mediumShot,"A group of people, some wearing plaid shirts, stand around a police car."
shot_0084.jpg,mediumShot,"A person with short hair, wearing a collared shirt, stands with arms crossed in front of trees and bushes."
shot_0141.jpg,ambiguous,"The frame shows a close-up of purple and white flowers, slightly out of focus and with a grainy texture."
shot_0023.jpg,detail,Dark blurry spots appear on a grainy maroon background.
shot_0196.jpg,fullShot,"A group of people stand in a parking lot at night, some facing away from the camera."
shot_0047.jpg,extremeLongShot,"A blurry, dark purple image appears to show some patterned fabric or blankets."
shot_0010.jpg,ambiguous,"The video shows blurry, dark footage of what appears to be mold or fungus."
shot_0132.jpg,closeUp,"A woman with long, light hair is seen through an oval-shaped window or opening, possibly on a vehicle, and she is wearing a dark jacket."
shot_0206.jpg,detail,"A blurry image shows a large group of people and a banner reading ""AIDS KILLS""."
shot_0092.jpg,ambiguous,A blurry figure wearing a dark long-sleeved shirt stands in front of some thin branches.
shot_0072.jpg,mediumShot,"Protesters hold signs reading ""Guilty"" with a picture of George H.W. Bush during a demonstration."
shot_0217.jpg,ambiguous,"The image shows wilting purple flowers, likely tulips, with some dried brown leaves and stems."
shot_0089.jpg,ambiguous,"A blurry, purple-toned image shows a person standing with their back to the camera, partially obscured by foliage."
shot_0174.jpg,closeUp,"A close-up, slightly blurred image shows the face of a person lying down with their eyes closed."
shot_0128.jpg,longShot,"Grainy photo of police officers, some appearing to arrest and detain people, near a firetruck."
shot_0179.jpg,ambiguous,A blurry close-up shows part of a dark banner with white letters and a white cloth tied to it.
shot_0125.jpg,fullShot,"A group of police officers in uniform stand near a city bus, some facing the camera and some facing away."
shot_0048.jpg,ambiguous,"A close-up, overhead view of what appears to be a patterned rug or textile with various shades of purple and maroon."
shot_0150.jpg,fullShot,"A group of people, some in uniform, stand around a police car."
shot_0086.jpg,mediumShot,A person with light skin and reddish hair wears a purple collared shirt and stands with their arms crossed in front of a blurry background of trees and vegetation.
shot_0154.jpg,longShot,A group of police officers are detaining a person wrapped in a white cloth with blue markings.
shot_0091.jpg,fullShot,"A blurry, purple-toned image shows a person wearing a long-sleeved shirt, their left hand visible on their hip."
shot_0097.jpg,longShot,"A crowd of people, some holding signs with religious and political messages, is shown."
shot_0165.jpg,ambiguous,A person is climbing down a flagpole on the side of a tall building.
shot_0017.jpg,detail,"A close-up shot shows two motorcycle helmets, one with ""Patricia Angel"" written on it, resting on a motorcycle seat."
shot_0163.jpg,mediumShot,"Two men wearing jackets, one with an ACT UP t-shirt, hold hands amidst a crowd of people."
shot_0046.jpg,longShot,A close-up image shows rumpled purple blankets or fabric.
shot_0210.jpg,closeUp,"A close-up, slightly blurry image shows a person's face."
shot_0212.jpg,closeUp,"A blurry, close-up image shows part of a person's face."
shot_0016.jpg,mediumShot,Two men wearing short-sleeved shirts sit close together.
shot_0191.jpg,longShot,"A group of people hold a banner reading ""Federal Death Administration"" while others watch and a person with a camera bag faces them."
shot_0103.jpg,ambiguous,"A blurry, sepia-toned image shows a person's head and shoulders in the foreground, with the reflection of a smaller figure and object in a window behind them."
shot_0111.jpg,mediumCloseUp,"A close-up, slightly blurry image shows a person's face and right ear, with part of a purple object in the foreground."
shot_0053.jpg,fullShot,A blurry figure in a long garment is bending over in a dimly lit room.
shot_0090.jpg,ambiguous,"A blurry figure in a purple jacket is facing away from the camera, with dried, thistle-like plants in the foreground."
shot_0189.jpg,mediumShot,"Three people stand close together outside, two men and a woman, and one man is eating."
shot_0139.jpg,ambiguous,Close-up of purple and white tulips.
shot_0202.jpg,mediumCloseUp,A woman with a baseball cap and sunglasses smiles.
